综合,#genre#
甘肃卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.149:5140
海南卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.55:5140
青海卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.65:5140
西藏卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.70:5140
陕西卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.59:5140
兵团卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.72:5140
山西卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.51:5140
宁夏卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.57:5140
广西卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.49:5140
云南卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.46:5140
吉林卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.48:5140
金鹰卡通,http://myxzgy.dynv6.net:4000/udp/233.50.201.73:5140
哈哈炫动,http://myxzgy.dynv6.net:4000/udp/233.50.201.74:5140
中国教育一套,http://myxzgy.dynv6.net:4000/udp/233.50.201.75:5140
中国教育四套,http://myxzgy.dynv6.net:4000/udp/233.50.201.172:5140
凤凰卫视中文,http://myxzgy.dynv6.net:4000/udp/233.50.200.191:5140
凤凰卫视资讯,http://myxzgy.dynv6.net:4000/udp/233.50.200.192:5140
CGTN,http://myxzgy.dynv6.net:4000/udp/233.50.201.126:5140
CGTN-西班牙语,http://myxzgy.dynv6.net:4000/udp/233.50.201.36:5140
CGTN-法语,http://myxzgy.dynv6.net:4000/udp/233.50.201.37:5140
CGTN-阿拉伯语,http://myxzgy.dynv6.net:4000/udp/233.50.201.38:5140
CGTN-俄语,http://myxzgy.dynv6.net:4000/udp/233.50.201.39:5140
钱江频道,http://myxzgy.dynv6.net:4000/udp/233.50.201.132:5140
浙江经济生活,http://myxzgy.dynv6.net:4000/udp/233.50.201.133:5140
浙江教育,http://myxzgy.dynv6.net:4000/udp/233.50.201.134:5140
浙江民生,http://myxzgy.dynv6.net:4000/udp/233.50.201.136:5140
浙江新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.137:5140
浙江少儿,http://myxzgy.dynv6.net:4000/udp/233.50.201.138:5140
杭州1综合,http://myxzgy.dynv6.net:4000/udp/233.50.201.173:5140
杭州2明珠,http://myxzgy.dynv6.net:4000/udp/233.50.201.174:5140
杭州3生活,http://myxzgy.dynv6.net:4000/udp/233.50.201.175:5140
杭州4影视,http://myxzgy.dynv6.net:4000/udp/233.50.201.176:5140
杭州5青少,http://myxzgy.dynv6.net:4000/udp/233.50.201.177:5140
杭州导视,http://myxzgy.dynv6.net:4000/rtp/233.50.201.182:5140
宁波TV1,http://myxzgy.dynv6.net:4000/udp/233.50.201.168:5140
宁波TV2,http://myxzgy.dynv6.net:4000/udp/233.50.201.178:5140
宁波TV3,http://myxzgy.dynv6.net:4000/udp/233.50.201.179:5140
宁波TV4,http://myxzgy.dynv6.net:4000/udp/233.50.201.180:5140
宁波TV5,http://myxzgy.dynv6.net:4000/udp/233.50.201.181:5140
温州新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.87:5140
衢州新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.155:5140
绍兴新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.156:5140
台州-1,http://myxzgy.dynv6.net:4000/udp/233.50.201.157:5140
湖州公共,http://myxzgy.dynv6.net:4000/udp/233.50.201.158:5140
金华新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.161:5140
丽水新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.162:5140
嘉兴新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.163:5140
桐乡新闻,http://myxzgy.dynv6.net:4000/udp/233.50.201.169:5140
杭州导视,http://myxzgy.dynv6.net:4000/udp/233.50.201.182:5140
之江记录,http://myxzgy.dynv6.net:4000/udp/233.50.202.25:5140
某地新闻综合,http://myxzgy.dynv6.net:4000/udp/233.50.202.11:5140
某地公共,http://myxzgy.dynv6.net:4000/udp/233.50.202.12:5140
余杭新闻,http://myxzgy.dynv6.net:4000/rtp/233.50.201.159:5140
优优宝贝,http://myxzgy.dynv6.net:4000/udp/233.50.202.24:5140
新视觉HD,http://myxzgy.dynv6.net:4000/udp/233.50.201.244:5140
欢笑剧场,http://myxzgy.dynv6.net:4000/udp/233.50.201.189:5140
都市剧场,http://myxzgy.dynv6.net:4000/udp/233.50.201.190:5140
法制天地,http://myxzgy.dynv6.net:4000/udp/233.50.201.191:5140
动漫秀场,http://myxzgy.dynv6.net:4000/udp/233.50.201.184:5140
游戏风云,http://myxzgy.dynv6.net:4000/udp/233.50.201.183:5140
乐游,http://myxzgy.dynv6.net:4000/udp/233.50.201.185:5140
金色学堂,http://myxzgy.dynv6.net:4000/udp/233.50.201.186:5140
生活时尚,http://myxzgy.dynv6.net:4000/udp/233.50.201.187:5140
茶频道,http://myxzgy.dynv6.net:4000/udp/233.50.201.188:5140
快乐垂钓,http://myxzgy.dynv6.net:4000/udp/233.50.201.109:5140
好易购,http://myxzgy.dynv6.net:4000/udp/233.50.201.248:5140
家有购物,http://myxzgy.dynv6.net:4000/udp/233.50.201.90:5140
BesTV,http://myxzgy.dynv6.net:4000/udp/233.50.201.201:5140
游戏频道,http://myxzgy.dynv6.net:4000/udp/233.50.201.207:5140
游戏频道,http://myxzgy.dynv6.net:4000/udp/233.50.201.215:5140
未知频道,http://myxzgy.dynv6.net:4000/udp/233.50.201.224:5140
中国蓝直播,http://myxzgy.dynv6.net:4000/udp/233.50.201.108:5140
睛彩竞技,http://myxzgy.dynv6.net:4000/udp/233.50.201.193:5140
睛彩竞技,http://myxzgy.dynv6.net:4000/udp/233.50.202.26:5140
睛彩篮球,http://myxzgy.dynv6.net:4000/udp/233.50.202.27:5140
睛彩广场舞,http://myxzgy.dynv6.net:4000/udp/233.50.202.29:5140
浙江之声广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.79:5140
浙江新闻广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.80:5140
经济频道广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.81:5140
音乐调频广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.82:5140
交通之声广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.83:5140
旅游之声广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.84:5140
城市之声广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.85:5140
民生资讯广播,http://myxzgy.dynv6.net:4000/udp/233.50.201.86:5140

小地方,#genre#
义乌新闻综合,https://44911.hlsplay.aodianyun.com/tv_radio_44911/tv_channel_1796.m3u8?auth_key=4830573978-0-0-92824c2c03f95906a3c49a4aa28f1709&extra_key=Yc1XsmxOKy2UBoPM4Wy5vCPsEYqnj06taCR2SRB2Xrg2w28NPilH03KdIbbM5wgSql-VBohSnoO9AOKl94q2t2DWMftz-XB-2qUX-UjXcS80StcSZahBFjrKLivXaRjiY5r2NOMKWMKFbv-S0Bz2G6iEXgCK8yGjtrFHDcPfAQEE0pvXq0Bwy34b7We8zARN&ali_ffmpeg_version=mpengine
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
淳安电视台,https://wtmtyoutlive.watonemt.com/f2p7vq/lf76v9.m3u8?zzhed
淳安电视台,https://wtmtylive.yunshicloud.com/tbziu1/ad592j.m3u8?zzhed
余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
嵊州新闻综合,https://hlsv2.quklive.com/live/1626935015913208/index.m3u8?zzhed
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
海宁新闻综合,http://live.hndachao.cn/xwzh/sd/live.m3u8?zzhed
海宁生活服务,http://live.hndachao.cn/shfw/sd/live.m3u8?zzhed
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
咪咕移动,#genre#
北京冬奥纪实,http://39.134.66.66/PLTV/88888888/224/3221225670/index.m3u8
北京卡酷少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
大庆公共,http://39.134.66.66/PLTV/88888888/224/3221225734/index.m3u8
大庆新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225736/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
哈尔滨生活,http://39.134.66.66/PLTV/88888888/224/3221225698/index.m3u8
哈尔滨新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225684/index.m3u8
哈尔滨影视,http://39.134.66.66/PLTV/88888888/224/3221225700/index.m3u8
哈尔滨娱乐,http://39.134.66.66/PLTV/88888888/224/3221225699/index.m3u8
哈尔滨资讯,http://39.134.66.66/PLTV/88888888/224/3221225697/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
鹤岗公共,http://39.134.66.66/PLTV/88888888/224/3221225787/index.m3u8
鹤岗新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225785/index.m3u8
黑莓电竞,http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画,http://39.134.66.66/PLTV/88888888/224/3221225529/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
江苏好享购物,http://39.134.66.66/PLTV/88888888/224/3221225695/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
江苏优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
咪咕视频1,http://39.134.66.66/PLTV/88888888/224/3221225643/index.m3u8
咪咕视频2,http://39.134.66.66/PLTV/88888888/224/3221225648/index.m3u8
咪咕视频3,http://39.134.66.66/PLTV/88888888/224/3221225639/index.m3u8
咪咕视频4,http://39.134.66.66/PLTV/88888888/224/3221225652/index.m3u8
咪咕视频5,http://39.134.66.66/PLTV/88888888/224/3221225647/index.m3u8
咪咕视频6,http://39.134.66.66/PLTV/88888888/224/3221225645/index.m3u8
咪咕视频7,http://39.134.66.66/PLTV/88888888/224/3221225650/index.m3u8
咪咕视频8,http://39.134.66.66/PLTV/88888888/224/3221225641/index.m3u8
咪咕视频9,http://39.134.66.66/PLTV/88888888/224/3221225617/index.m3u8
咪咕视频10,http://39.134.66.66/PLTV/88888888/224/3221225651/index.m3u8
咪咕视频11,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕视频12,http://39.134.66.66/PLTV/88888888/224/3221225611/index.m3u8
咪咕视频13,http://39.134.66.66/PLTV/88888888/224/3221225649/index.m3u8
咪咕视频14,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
咪咕视频15,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频16,http://39.134.66.66/PLTV/88888888/224/3221225658/index.m3u8
咪咕视频8M1,http://39.134.66.66/PLTV/88888888/224/3221225762/index.m3u8
咪咕视频8M2,http://39.134.66.66/PLTV/88888888/224/3221225749/index.m3u8
咪咕视频8M3,http://39.134.66.66/PLTV/88888888/224/3221225758/index.m3u8
咪咕视频8M4,http://39.134.66.66/PLTV/88888888/224/3221225764/index.m3u8
咪咕视频8M5,http://39.134.66.66/PLTV/88888888/224/3221225747/index.m3u8
咪咕视频8M6,http://39.134.66.66/PLTV/88888888/224/3221225766/index.m3u8
咪咕视频8M7,http://39.134.66.66/PLTV/88888888/224/3221225760/index.m3u8
咪咕视频8M8,http://39.134.66.66/PLTV/88888888/224/3221225756/index.m3u8
咪咕视频8M9,http://39.134.66.66/PLTV/88888888/224/3221225745/index.m3u8
咪咕视频8M10,http://39.134.66.66/PLTV/88888888/224/3221225735/index.m3u8
咪咕视频8M11,http://39.134.66.66/PLTV/88888888/224/3221225741/index.m3u8
咪咕视频8M12,http://39.134.66.66/PLTV/88888888/224/3221225739/index.m3u8
咪咕视频8M13,http://39.134.66.66/PLTV/88888888/224/3221225654/index.m3u8
咪咕视频 30M2160HDR,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
咪咕直播,http://39.134.66.66/PLTV/88888888/224/3221225782/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
七台河公共,http://39.134.66.66/PLTV/88888888/224/3221225800/index.m3u8
青海安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
求索动物8M,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索纪录8M,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索科学8M,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索生活8M,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
上海哈哈炫动,http://39.134.66.66/PLTV/88888888/224/3221225534/index.m3u8
上海纪实人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
中国教育1,http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CGTN,http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
NewTV爱情喜剧,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧,http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTV古装剧场,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8
NewTV家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225682/index.m3u8
NewTV金牌综艺,http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8
NewTV惊悚悬疑,http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8
NewTV精品大剧,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
NewTV军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
NewTV军事评论,http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
NewTV农业致富,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV武搏世界,http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8
NewTV炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTV怡伴健康,http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8
NewTV中国功夫,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8

V6,#genre#
CCTV-1 综合,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-2 财经,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-2H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-3 综艺,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-3H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-4 中文国际,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-5 体育,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-5+ 体育赛事,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-5plusH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-6 电影,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-6H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-7 国防军事,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-8 电视剧,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-9 纪录,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-10 科教,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-10H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-11 戏曲,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-11-H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-12 社会与法,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-12H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-13 新闻,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-xw_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-14 少儿,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-14H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-15 音乐,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-15-yyH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-16 奥林匹克,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-16_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-16 奥林匹克 4K,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-16-4K_8000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-17 农业农村,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/CCTV-17_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV-4K 超高清,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/ys4Kcq_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
4K超高清电影 4K,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/emdy4k_8000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
欢笑剧场4K,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/hxjc-4k_8000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
凤凰中文,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/test1_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
凤凰资讯,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/test2_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
安徽卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/ahwsH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
北京卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/bjwsH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
兵团卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/btws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
重庆卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/cqwsH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
东方卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/dfwsH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
东南卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/dnwsfjwsH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
甘肃卫视,http://[2408:8710:1020:17:1::7]/live2.rxip.sc96655.com/live/gsws_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
